State,ISO,Does Article 51 of the UN Charter apply in the cyber context?,Do States have a right of self-defense in the cyber context as a matter of customary international law independent of the obligations assumed under Article 51 of the UN Charter?,Is the scope of any independent right of self-defense co-extensive with the obligations assumed under Article 51 of the UN Charter,Does a State’s right of self-defense apply to actions conducted by non-state actors acting without the involvement of another State(s)?,Is the right of self-defense triggered solely if an armed attack is attributable to a State according to the applicable rules of customary international law of State responsibility?,Can a State  exercise self-defense on the basis that the territorial state would be “unwilling and unable” to repress non-state actors whose cyber operations have extraterritorial effects that would rise to the level of an armed attack if conducted by a State?,Is the exercise of the right of self-defense subject to the principle of necessity?,Must force be the only option available to successfully repel and armed attack under the right of self-defense?,Is the exercise of the right of self-defense subject to the principle of proportionality?,Is the exercise of the right of self-defense subject to the principle of imminence?,Is the exercise of the right of self-defense subject to the principle of immediacy?,Do States have a right of anticipatory or pre-emptive self-defense?,Do States have a right to preventative self-defense?,Must a cyber operation involve the use of a weapon or weapons to qualify as an armed attack?,Can a cyber operation alone constitute an armed attack for purposes of triggering the right of self-defense?,Must a decision that a cyber operation constitute an armed attack triggering a right of self-defense be made on a case-by-case basis or by considering all the circumstances?,Can a cyber operation qualify as an armed attack under article 51 of the UN Charter if the effects generated are comparable to effects resulting from an action that would otherwise qualify as an armed attack?,Must a cyber operation involve consequences of a certain scale and effects to qualify as an attack?,"Must a cyber operation cause some level of death or injury to persons, or damage or destruction to property, to qualify as an armed attack?",Can any unlawful cyber use of force in violation of Art. 2(4) of the UN Charter trigger a State’s right of self-defense?,Do only the most grave uses of force qualify a cyber operation as an armed attack triggering a State’s right of self-defense?,Can losses of functionality from a cyber operation without accompanying death or injury or damage or destruction to property constitute an armed attack?,"Can cyber operations producing significant economic effects such as the collapse of a State’s financial system, or the degradation of parts of its economy or critical infrastructure qualify as an armed attack?",Can cyber operations that individually fall below the threshold of an armed attack aggregate into an armed attack triggering the right of self-defense?,Must the State or entity conducting a cyber operation intend to cause harms that qualify the operation as an armed attack to trigger a right of self-defense in the State that is attacked?,Must the State or entity conducting a cyber operation produce reasonably foreseeable harms qualifying the operation as an armed attack to trigger a right of self-defense in the State that is attacked?,Can cyber operations causing harms sufficient to qualify the operation as an armed attack trigger a third State’s right of self-defense if it was not the target of those operations?,Can non-affected States exercise collective self-defense in response to a cyber operation or operations constituting an armed attack against an affected State?,Must a State exercising collective self-defense in response to a cyber operation(s) constituting an armed attack have the victim state request or consent to such actions?,"In its response to a cyber operation or operations qualifying as an armed attack, is the injured state limited to cyber means in response?",Must a State employing the right of self-defense in response to a cyber operation or operations constituting an armed attack report its actions to the UN Security Council?,5(a) Must force be the only option available to successfully repel an armed attack under the right of self-defense?
Denmark,DNK,Yes,Silent,Silent,Yes,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,Ambiguous,No,Yes,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Ecuador,ECU,yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Estonia,EST,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,Ambiguous,Ambiguous,Silent,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,
European Union,EUN,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,Ambiguous,No.,Yes,Silent,Silent,Ambiguous,Silent,Silent,Silent,Yes,Yes,Silent,Silent,
Finland,FIN,Yes,Silent,Silent,No,Yes,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Yes,Yes,No,Yes,No,Silent,Silent,No,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,
France,FRA,Yes,Silent,Silent,Ambiguous,Ambiguous,Silent,Yes,Silent,Yes,Yes,Silent,Yes,No,Silent,Yes,Silent,Yes,Yes,Silent,No,Yes,Silent,Silent,Yes,Silent,Silent,Silent,Yes,Silent,No,Yes,
Germany,DEU,Yes,Silent,Silent,Yes,No,Silent,Yes,Silent,Yes,Yes,Silent,Ambiguous,No,Silent,Yes,Yes,Yes,Yes,Ambiguous,No,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Yes,
Guyana,GUY,No.,Silent,Silent,Silent,Silent,Silent,,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No.,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Guatemala,GTM,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Yes,Silent,Yes,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Iran,IRN,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Ireland,IRL,Yes,Yes,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Yes,Silent,Yes,Yes,No,No,Ambiguous,Yes,Silent,Silent,Silent,Silent,Silent,Yes.,Silent,Silent,Silent,
Israel,ISR,Yes,Yes,Ambiguous,Yes,No,Silent,Yes,Silent,Yes,Yes,Silent,Yes,Silent,,Yes,Silent,Silent,Silent,Silent,No,Silent,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,
Italy,ITA,Yes,Silent,Silent,Yes,No,Silent,Yes,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Yes,Yes,Ambiguous,No,No,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,No,Silent,
Japan,JPN,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Kazakhstan,KAZ,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Kenya,KEN,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,,,,,,,,,,,,,,,,,,,
Korea,KOR,Yes,Yes,Yes,Silent,Silent,Silent,Yes,,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Yes,Yes,Yes,Silent,No,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Netherlands,NLD,Yes,Silent,Silent,Yes,No,Silent,Yes,,Yes,Silent,Silent,Ambiguous,Silent,No,Yes,Silent,Yes,Yes,Ambiguous,No,Yes,Ambiguous,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,Silent
New Zealand,NZL,Yes,Yes,Yes,Silent,Silent,Silent,Yes,,Yes,Yes,Silent,Yes,Siletn,Silent,Yes,Silent,Yes,Yes,Silent,Silent,Silent,Ambiguous,Silent,Silent,Ambiguous,Ambiguous,Silent,Yes,Silent,No,Yes,Silent
Norway,NOR,Yes,Yes,Ambiguous,Silent,Silent,Silent,Yes,,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Silent,No,No,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,No,Silent,Silent
Pakistan,PAK,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent
Peru,PER,Yes,Silent,Silent,Silent,Silent,Silent,Silent,,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Ambiguous,No,Silent .,Yes,"Ambiguous,",Silent,Silent,Ambiguou.,No  Revert to silent,Silent,Silent,Silent,Silent,Silent,Silent
Poland,POL,Yes,Yes,Yes.,Yes,No,Silent,Yes,,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Yes,Yes.,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes.,Silent,No,Silent,SilentNo
Romania,ROU,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Yes,Yes,Silent,Silent,No,Ambiguous,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Russian Federation,RUS,Ambiguous.,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Singapore,SGP,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,No,Silent,Silent,Yes,Yes,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,
Sweden,SWE,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Silent,Silent,Silent,Silent,Ambiguous,Yes,Yes,Yes,Yes,Silent,No,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Yes,Silent,No,Yes,
Switzerland,CHE,Yes,Silent,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Silent,Silent,No,No,No,Yes,Yes,Yes,No  Move to ambiguous but note our division of views,Ambiguous,No,Yes,No,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Ambiguous,
Thailand,THA,Yes,Yes,Ambiguous,Silent,Silent,Silent,Yes,Silent,Yes,Silent,Yes,No,No,Silent,Yes,Silent,Yes,Silent,Yes,No.,Yes,No,Silent,Silent,Silent,Ambiguous,Silent,Silent,Silent,Silent,Silent,
United Kingdom,GBR,Yes,Yes,Silent,Silent,Silent,Silent,Yes,Silent,Yes,Yes,Silent,Ambiguous,Silent,Silent,Yes,Yes,Yes,Yes,No,Silent,Silent,Silent,Silent,Silent,No Silent,Silent,Silent,Yes,Silent,No,Silent,
United States,USA,Yes,Yes,Silent,Yes,No,Silent,Yes,Ambiguous,Yes,Yes,Yes,Yes,Silent,Silent,Yes,Yes,Yes,Silent,Ambiguous,Yes,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,Silent,No,Silent,
